ds,yhat,yhat_lower,yhat_upper
2012-09-29,55.2336199731709,-352.46820300532926,436.66493843132616
2012-09-30,54.52727816509747,-330.8553600174082,433.9481586364492
2012-10-01,132.51331268133973,-260.6971653307001,541.8524107124792
2012-10-02,209.7904040760118,-192.36139583685303,616.8532686364531
2012-10-03,40.78963622079445,-337.211182460862,431.947817913015
2012-10-04,44.36042302574748,-392.42340339499344,416.9793639784837
2012-10-05,50.99538139885564,-366.48555877947837,441.2583086776996
2012-10-06,50.28917259381214,-345.1772910083171,454.5657785489481
2012-10-07,49.582830786198286,-331.638533097349,460.4936806035715
2012-10-08,127.5688653026096,-256.0600343512681,527.8012652730623
2012-10-09,204.84595669734713,-199.4682710228714,583.827261060226
2012-10-10,35.84518884207901,-358.48591703017325,417.24269094566705
2012-10-11,39.41597564721482,-356.402842212635,440.33393244418414
2012-10-12,46.050934020054,-355.3867346992814,431.88159823447234
2012-10-13,45.344725215192284,-354.13900988449166,453.9731347156774
2012-10-14,44.638383407460566,-348.5890694506758,420.9962209206311
2012-10-15,122.6244179241701,-299.4394278754638,531.794157939316
2012-10-16,199.90150931868234,-199.89803264769353,607.6595614768944
2012-10-17,30.900741463343593,-356.7383098120616,435.2575185648449
2012-10-18,34.47152826836293,-377.3336262742682,404.1922987877377
2012-10-19,41.10648664164995,-383.52623227920253,468.00658395599453
2012-10-20,40.40027783647852,-358.5625612810882,441.6375527900438
2012-10-21,39.693936028915175,-385.6206064358192,430.8413728984903
2012-10-22,117.67997054558523,-263.24127042395224,517.6836037238202
2012-10-23,194.95706194007676,-210.28271491623042,581.5341202113436
2012-10-24,25.956294084865362,-360.38524365004395,421.5786985431163
2012-10-25,29.52708088983033,-343.09503643205335,462.1102247456403
2012-10-26,36.162039262905125,-380.2016978890351,425.1712547708906
2012-10-27,35.455830457764705,-336.40990012486577,453.0670720182074
2012-10-28,34.74948865012385,-356.9518673747962,441.21389258580353
2012-10-29,112.7355231669197,-281.5993689652828,499.73725861311027
2012-10-30,190.0126145614816,-214.09326686408505,594.3301765716917
2012-10-31,21.011846706149925,-393.0065671989596,401.3276157521408
2012-11-01,24.582633511086385,-374.39106312356193,404.1440498139709
2012-11-02,31.217591884330744,-344.56342780732473,447.75397899069304
2012-11-03,30.511383079346245,-357.6984316602758,413.7434002015659
2012-11-04,29.805041271578432,-333.1936220322343,424.89410453019065
2012-11-05,107.79107578848013,-308.5079362985989,506.94335072485615
2012-11-06,185.0681671827473,-218.8138019302219,574.650470305773
2012-11-07,16.067399327434487,-395.96027812109156,393.52623599217395
2012-11-08,19.638186132499726,-393.61310897878064,426.3776162497674
2012-11-09,26.27314450552913,-371.1927786688891,436.2835735736092
2012-11-10,25.566935700431117,-351.4010599473507,461.1629352798732
2012-11-11,24.860593893032956,-372.9844034558407,437.9732830169381
2012-11-12,102.84662840975,-296.99475879913456,494.923141296987
2012-11-13,180.1237198040825,-218.5438727918152,584.4192882603874
2012-11-14,11.122951949193578,-389.83592241946593,415.14801406104743
2012-11-15,14.693738753861453,-362.3027182800992,420.20811242802876
2012-11-16,21.328697126784363,-372.8927423464969,377.3562797101078
2012-11-17,20.622488321918638,-386.13322127813046,417.2543665654771
2012-11-18,19.916146514487593,-381.3985882562999,420.923642211745
2012-11-19,97.90218103108447,-279.7596372401119,478.9538423395424
2012-11-20,175.17927242547688,-203.0199071174053,579.42226729988
2012-11-21,6.178504570478111,-387.78184027763535,410.6439264163555
2012-11-22,9.74929137522318,-388.6748927531494,423.68277921697353
2012-11-23,16.384249748380313,-370.1774753513195,451.59149274762547
2012-11-24,15.678040943204763,-367.93809685817524,427.7575937775468
2012-11-25,14.971699135626835,-362.6921385268884,422.1261511375911
2012-11-26,92.95773365249966,-295.8222593028933,490.41232551624705
2012-11-27,170.23482504674269,-236.6154861210089,574.3197577185945
2012-11-28,1.2340571917426928,-367.59489745695817,403.7208403122298
2012-11-29,4.804843996584879,-393.84349062490213,389.57052792808526
2012-11-30,11.4398023695787,-393.3003245559044,435.4601306150621
2012-12-01,10.733593564678984,-399.1946352665477,404.16218895663764
2012-12-02,10.027251757081444,-378.90788587428204,401.54407209313587
2012-12-03,88.01328627391479,-306.77254711125846,495.33924336859656
2012-12-04,165.2903776681475,-234.66580102911217,551.9663460889209
2012-12-05,-3.7103901867155002,-407.26401340670037,389.6521810123833
2012-12-06,-0.13960338200178057,-422.512213168598,413.79998833260584
2012-12-07,6.495354991004234,-373.59881048881465,401.29603358137774
2012-12-08,5.7891461859652225,-356.66480432134995,378.6657608995439
2012-12-09,5.082804378343752,-400.19631581804,406.0673025913226
2012-12-10,83.06883889532992,-321.3391637899543,470.55595367271303
2012-12-11,160.3459302898095,-237.33937608869408,542.469812444352
2012-12-12,-8.654837565450975,-416.32293047465225,398.90686679338705
2012-12-13,-5.084050760640054,-416.62947438625554,394.3298224333385
2012-12-14,1.5509076124298815,-377.4315380751388,396.48893146468635
2012-12-15,0.8446988072514046,-352.121447896821,396.98176953251436
2012-12-16,0.13835699986771033,-384.75441516820564,393.9713985544808
2012-12-17,78.12439151666439,-321.5176364232635,499.0866940990959
2012-12-18,155.4014829110753,-266.8464994846265,538.1635154229929
2012-12-19,-13.599284944166385,-373.33770874550214,371.18204742772184
2012-12-20,-10.028498139172768,-418.6889958047843,383.32102141467533
2012-12-21,-3.3935397661446416,-396.3861678188462,412.457074482852
2012-12-22,-4.0997485713683375,-397.4467739066746,397.2149791804155
2012-12-23,-4.806090378869982,-390.75943465840305,375.92791385036924
2012-12-24,73.17994413807958,-322.19219777157497,467.04850799671544
2012-12-25,150.457035532341,-242.44305200499136,511.77325669174706
2012-12-26,-18.543732322881823,-405.226388308339,376.4935816470103
2012-12-27,-14.972945517970572,-403.37166807114943,372.1793627289513
2012-12-28,-8.337987144832766,-405.02226892266174,397.64058331178563
2012-12-29,-9.044195949880901,-381.9668779743076,403.7550449098344
2012-12-30,-9.750537757415458,-399.8162156526954,377.8776691204473
2012-12-31,68.23549675964011,-347.13376970915556,476.7710893425754
2013-01-01,145.51258815380496,-268.5818906941365,544.618902831631
2013-01-02,-23.488179701360053,-440.8187425524693,350.693397419331
2013-01-03,-19.91739289650323,-450.2036207298511,333.9687057376188
2013-01-04,-13.282434523407147,-411.84534317961254,363.94654023610747
2013-01-05,-13.988643328393437,-398.3408852646057,372.54002814036795
2013-01-06,-14.694985135960877,-385.9343951830998,371.39144957948884
2013-01-07,63.29104938068386,-325.1568098680379,468.23050548821556
2013-01-08,140.56814077514022,-256.45093190777624,523.475078030235
2013-01-09,-28.43262708009553,-388.06956171702757,371.5991254874908
2013-01-10,-24.86184027514156,-443.7919990221984,358.3938958159305
2013-01-11,-18.226881902151888,-393.29601621372836,367.7212151627909
2013-01-12,-18.933090707013235,-434.7019807798152,337.35692262358623
2013-01-13,-19.63943251462925,-439.2805346550228,359.3834621800605
2013-01-14,58.346602001872895,-305.9085554949526,461.2238346870583
2013-01-15,135.62369339647543,-254.39653478036146,510.8591594599883
2013-01-16,-33.37707445883103,-404.3151742274657,345.5075051719291
2013-01-17,-29.806287653779833,-416.2241277384771,345.5925689756332
2013-01-18,-23.171329280612838,-389.7786552839856,392.84539981086766
2013-01-19,-23.877538085726997,-431.6147507353559,366.75175284510135
2013-01-20,-24.583879893366998,-421.2964908683441,356.2110324705819
2013-01-21,53.40215462328811,-350.8799456140134,438.5066004653481
2013-01-22,130.67924601774124,-298.7845907911045,509.68476404165887
2013-01-23,-38.32152183730918,-419.1820660478616,388.9011665525896
2013-01-24,-34.75073503252611,-427.9991508161294,366.61437745329926
2013-01-25,-28.115776659357607,-432.77253476618625,357.09523473060386
2013-01-26,-28.82198546444087,-393.79671113537574,361.00836896109956
2013-01-27,-29.52832727210469,-401.2971556506508,359.8775679954978
2013-01-28,48.457707244622526,-331.8578158936144,451.04234950712424
2013-01-29,125.73479863927466,-268.6664855189913,539.8894953121818
2013-01-30,-43.265969216024644,-438.22265409538085,343.9060936502447
